photo_ids,lats,longs,names,localities,neighbourhoods,regions
50991878078,60.441099,26.851238,Deer on ice,Kotka,Takakylä,Kymenlaakso
50989281247,60.665744,27.130058,2021-02-28_04-48-01,Hamina,Metsäkylä,Kymenlaakso
50989169591,60.665744,27.130058,2021-02-28_04-47-16,Hamina,Metsäkylä,Kymenlaakso
50989272377,60.662061,27.126758,2021-02-28_04-45-37,Hamina,Metsäkylä,Kymenlaakso
50988447283,60.669961,27.171069,2021-02-28_04-42-07,Hamina,Parkonpuoli,Kymenlaakso
50988726487,60.533046,26.884544,Kohti kesää,Kotka,Korkeakoski,Kymenlaakso
50985412643,60.469925,26.943101,Merikeskus Vellamo,Kotka,Kotka,Kymenlaakso
50986115446,60.469925,26.943101,Ichabod Crane,Kotka,Kotka,Kymenlaakso
50985329877,60.571922,26.705099,Fire in the sky,Pyttis,Hirvikoski,Kymenlaakso
50984687572,60.569712,27.198886,Raatihuone #2,Hamina,Hamina,Kymenlaakso
50983244221,60.860363,26.698147,2021-02-26_09-46-44,Kouvola,Kouvola,Kymenlaakso
50983242436,60.860363,26.698147,2021-02-26_09-45-59,Kouvola,Kouvola,Kymenlaakso
50983038961,60.569647,27.197670,Lantern,Hamina,Hamina,Kymenlaakso
50982334133,60.569647,27.197670,Raatihuone,Hamina,Hamina,Kymenlaakso
50981235802,60.396454,25.657753,IMG_0236,Porvoo,Prästgårdsbacken,Newland
50977203327,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976398488,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50977093541,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50977093216,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976397778,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50977092681,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976397078,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976396753,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50977201162,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50977200877,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976395878,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50976387993,60.244880,25.902822,Tirmo,Porvoo,Sundö,Newland
50977083161,60.244880,25.902822,Tirmo,Porvoo,Sundö,Newland
50977083026,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50976387558,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50977082761,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50977082656,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50977082596,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50977192032,60.245732,25.900858,Tirmo,Porvoo,Sundö,Newland
50976613251,60.214077,25.844133,Pellinge visited,Porvoo,Söderby,Newland
50975920808,60.214002,25.844041,Pellinge visited,Porvoo,Söderby,Newland
50975920768,60.214044,25.844147,Pellinge visited,Porvoo,Söderby,Newland
50976723687,60.214083,25.844141,Pellinge visited,Porvoo,Söderby,Newland
50966887561,60.571202,27.201430,2021-02-21_09-07-46,Hamina,Hamina,Kymenlaakso
50966995017,60.571225,27.201344,2021-02-21_09-07-20,Hamina,Hamina,Kymenlaakso
50961502253,60.439383,25.595266,Out and about,Porvoo,Virtaala,Newland
50962212621,60.440008,25.598297,Out and about,Porvoo,Virtaala,Newland
50962311537,60.439444,25.599077,Out and about,Porvoo,Virtaala,Newland
50961501478,60.440005,25.598274,Out and about,Porvoo,Virtaala,Newland
50962096017,60.885419,26.330151,VR Sm2 6056,Kansanmäki,,Kymenlaakso
50961768271,60.937923,26.403043,Iitin kirkko,Iitin kirkonkylä,,Kymenlaakso
50956235923,60.598304,26.949119,3072 at Juurikorpi,Kotka,Juurikorpi,Kymenlaakso
50953671436,60.892898,26.910452,Messerschmitt Bf 109 G-6,Kouvola,Utti,Kymenlaakso
50953671391,60.892898,26.910452,Messerschmitt Bf 109 G-6,Kouvola,Utti,Kymenlaakso
50943792756,60.920072,27.541962,Suomen Leijona Taavetin Kirkolla - Sankareille,Luumäki,Taavetti,South Karelia
50939474977,60.879360,26.439735,Snowy road,Iitti,Tillola,Kymenlaakso
50936947976,60.395842,25.660243,Borgå Lightfestival,Porvoo,Borgå,Newland
50937050487,60.394029,25.655307,Borgå Lightfestival,Porvoo,Borgå,Newland
50936823807,60.397113,25.658747,Borgå Lightfestival,Porvoo,Prästgårdsbacken,Newland
50936712296,60.395400,25.658055,Borgå Lightfestival,Porvoo,Borgå,Newland
50936823802,60.393880,25.655391,Borgå Lightfestival,Porvoo,Borgå,Newland
50936712256,60.397202,25.659063,Borgå Lightfestival,Porvoo,Prästgårdsbacken,Newland
50932412427,60.498927,25.941966,iPhone 6 vs Hipstamatic,Loviisa,Forsby,Newland
50932292371,60.498916,25.941905,iPhone 6 vs Hipstamatic,Loviisa,Forsby,Newland
50931603468,60.498927,25.941966,iPhone 6 vs Hipstamatic,Loviisa,Forsby,Newland
50932292316,60.498902,25.941913,iPhone 6 vs Hipstamatic,Loviisa,Forsby,Newland
50925982967,60.368133,25.684572,Svinö visited,Porvoo,Tarkkinen,Newland
50925854071,60.371883,25.679900,Svinö visited,Porvoo,,Newland
50925167978,60.371872,25.679972,Svinö visited,Porvoo,,Newland
50925982962,60.371819,25.680225,Svinö visited,Porvoo,,Newland
50925167973,60.367944,25.684422,Svinö visited,Porvoo,Tarkkinen,Newland
50925167928,60.370450,25.689388,Svinö visited,Porvoo,Tarkkinen,Newland
50919432408,60.385805,25.672455,Mushroom soup in the making,Porvoo,,Newland
50918076923,60.982294,25.649857,Lahden Kansakoulu,Lahti,,Paijat-Hame
50917945327,60.571341,27.201555,2021-02-07_11-14-57,Hamina,Hamina,Kymenlaakso
50917944297,60.571341,27.201555,2021-02-07_11-14-26,Hamina,Hamina,Kymenlaakso
50917122513,60.571152,27.201433,2021-02-07_11-13-15,Hamina,Hamina,Kymenlaakso
50911606862,60.207030,25.639133,Varlax visited,Porvoo,Boviken,Newland
50911606682,60.205886,25.635025,Varlax visited,Porvoo,Boviken,Newland
50911606647,60.205891,25.635044,Varlax visited,Porvoo,Boviken,Newland
50911606672,60.205888,25.635002,Varlax visited,Porvoo,Boviken,Newland
50911475521,60.205888,25.635050,Varlax visited,Porvoo,Boviken,Newland
50901425931,60.396430,25.655146,"""Waiting for Summer""",Porvoo,Prästgårdsbacken,Newland
50897670932,60.374844,25.679966,February is here,Porvoo,,Newland
50893868398,60.581272,27.172716,2021-01-31_05-49-09,Hamina,Salmenkylä,Kymenlaakso
50893865173,60.581333,27.172877,2021-01-31_05-48-16,Hamina,Salmenkylä,Kymenlaakso
50893675958,60.399207,25.653140,Sunday walk,Porvoo,Prästgårdsbacken,Newland
50890140163,60.374316,25.679552,It’s all so quiet,Porvoo,,Newland
50890850846,60.374363,25.679708,It’s all so quiet,Porvoo,,Newland
50890850666,60.374383,25.679758,It’s all so quiet,Porvoo,,Newland
50890967112,60.374350,25.679783,It’s all so quiet,Porvoo,,Newland
50885231443,60.350733,25.517575,Winter in Finland 💠,Porvoo,Blinkan,Newland
50876703442,60.853042,26.618016,The Kymi,Tammiranta,,Kymenlaakso
50864882838,60.992633,25.672173,Mustankallion vesitorni,Lahti,Metsäpelto,Paijat-Hame
50858171078,60.364472,26.385266,Kasaberget visited,Loviisa,Reimars,Newland
50858171018,60.365594,26.386216,Kasaberget visited,Loviisa,Reimars,Newland
50858170878,60.365533,26.386091,Kasaberget visited,Loviisa,Reimars,Newland
50858987632,60.365613,26.386383,Kasaberget visited,Loviisa,Reimars,Newland
50856613288,60.561361,27.186827,2021-01-20_10-27-13,Hamina,Tervasaari,Kymenlaakso
50857330786,60.558674,27.184111,2021-01-20_10-26-47,Hamina,Tervasaari,Kymenlaakso
50857328651,60.557772,27.182413,2021-01-20_10-26-02,Hamina,Tervasaari,Kymenlaakso
50857423202,60.560080,27.182108,2021-01-20_10-25-27,Hamina,Tervasaari,Kymenlaakso
50856607703,60.571044,27.192297,2021-01-20_10-24-52,Hamina,Hamina,Kymenlaakso
50857324801,60.571044,27.192297,2021-01-20_10-24-18,Hamina,Hamina,Kymenlaakso
50857323726,60.571638,27.192761,2021-01-20_10-23-47,Hamina,Hamina,Kymenlaakso
50857321506,60.572022,27.193255,2021-01-20_10-23-03,Hamina,Hamina,Kymenlaakso
50857320066,60.550174,27.228966,2021-01-20_10-22-29,Hamina,Tallinmäki,Kymenlaakso
50840637068,60.524417,27.255663,Kultaiset päivät,Hamina,Vilniemi,Kymenlaakso
50841138842,60.393255,25.656958,2021-01-16_02-22-09,Porvoo,Borgå,Newland
50841137272,60.864258,26.659258,R.I.P YIK-975 😢,Kouvola,Kellomäki,Kymenlaakso
50839824388,60.996191,25.650372,Lahti / Sibeliustalo & Piano Paviljonki,Lahti,,Paijat-Hame
50840122101,61.175849,26.393730,Mid winter,Kouvola,Ansalahti,Kymenlaakso
50830388833,60.393632,25.663365,,Porvoo,Borgå,Newland
50830388753,60.393632,25.663365,,Porvoo,Borgå,Newland
50830388693,60.393632,25.663365,,Porvoo,Borgå,Newland
50831135306,60.393632,25.663365,,Porvoo,Borgå,Newland
50829282987,60.221438,25.912511,Out in the archipelago,Porvoo,Österby,Newland
50828446968,60.221497,25.912591,Out in the archipelago,Porvoo,Österby,Newland
50826077861,60.376133,25.678763,Ruskis visited,Porvoo,,Newland
50822537732,60.667594,27.128738,2021-01-10_10-49-29,Hamina,Metsäkylä,Kymenlaakso
50822440351,60.658933,27.119233,2021-01-10_10-49-00,Hamina,Metsäkylä,Kymenlaakso
50822531627,60.661430,27.091025,2021-01-10_10-47-31,Hamina,Metsäkylä,Kymenlaakso
50822529952,60.662211,27.091141,2021-01-10_10-46-59,Hamina,Metsäkylä,Kymenlaakso
50821683033,60.662422,27.092066,2021-01-10_10-46-15,Hamina,Metsäkylä,Kymenlaakso
50821680068,60.665175,27.115408,2021-01-10_10-45-27,Hamina,Metsäkylä,Kymenlaakso
50822520512,60.665191,27.115427,2021-01-10_10-44-05,Hamina,Metsäkylä,Kymenlaakso
50820090907,61.168695,26.407474,Red aurora,Kouvola,Ansalahti,Kymenlaakso
50818536911,60.860277,26.697777,IMG_20200321_113746_068,Kouvola,Kouvola,Kymenlaakso
50818635222,60.860000,26.697777,IMG_20200523_173818_969,Kouvola,Kouvola,Kymenlaakso
50818635187,60.860000,26.698055,IMG_20200620_184806_564,Kouvola,Kouvola,Kymenlaakso
50817797728,60.860277,26.697777,IMG_20200708_152327_283,Kouvola,Kouvola,Kymenlaakso
50818536521,60.523055,26.937500,IMG_20200715_123437_898,Kotka,Karhula,Kymenlaakso
50818116802,60.571225,27.201408,2021-01-09_07-46-35,Hamina,Hamina,Kymenlaakso
50814962578,61.051415,25.432512,fin05_07,Hollola,Hollola,Paijat-Hame
50814962193,61.051924,25.432587,fin05_09,Hollola,Hollola,Paijat-Hame
50814962043,61.051924,25.432587,fin05_10,Hollola,Hollola,Paijat-Hame
50810645722,60.221450,25.912625,Pellinge,Porvoo,Österby,Newland
50806854957,60.477197,26.925666,Palopaikan yleisöä,Kotka,Hovinsaari,Kymenlaakso
50801963698,60.956058,25.695661,vt12_letke_osa1b_s29_20190429_47027990504_o,Lahti,Nikkilä,Paijat-Hame
50802703381,60.955833,25.676666,vt12_letke_osa1b_tutkimustunneli1_20180514_27297590807_o,Lahti,Nikkilä,Paijat-Hame
50802813907,60.955358,25.640872,vt12_letke_osa1b_s38_20190506_47765400392_o,Lahti,Laune,Paijat-Hame
50802812107,60.955833,25.677500,vt12_letke_osa1b_tutkimustunneli2_20180514_40362110680_o,Lahti,Nikkilä,Paijat-Hame
50801951588,60.953611,25.676388,vt12_letke_osa1b_tymaatie_liipolassa_20180423_40898477335_o,Lahti,Nikkilä,Paijat-Hame
50802809997,60.954722,25.669722,vt12_letke_osa1b_tutkimustunneli1_20180423_39989797600_o,Lahti,Nikkilä,Paijat-Hame
50802806922,60.953611,25.674722,vt12_letke_osa1b_tymaatie_20180423_41755802382_o,Lahti,Nikkilä,Paijat-Hame
50802805867,60.954722,25.670000,vt12_letke_osa1b_tutkimustunneli1_20180509_41136021185_o,Lahti,Nikkilä,Paijat-Hame
50802804492,60.956369,25.695150,vt12_letke_osa1b_s35_20190429_47027989754_o,Lahti,Nikkilä,Paijat-Hame
50801940533,60.958888,25.653333,vt12_letke_osa2_launeen_ykk_20180605_3_42561021582_o,Lahti,Laune,Paijat-Hame
50802800302,60.940277,25.642500,vt12_letke_osa2_j3_20170925_36715589373_o,Lahti,Renkomäki,Paijat-Hame
50802796747,60.951111,25.648055,vt12_letke_osa2_aukeankatujv_20171023_38050575212_o,Lahti,Nikkilä,Paijat-Hame
50802795602,60.932777,25.631666,vt12_letke_osa2_s1_20171130_27850163499_o,Lahti,Renkomäki,Paijat-Hame
50802679491,60.934444,25.632500,vt12_letke_osa2_s1_20180503_41316102284_o,Lahti,Renkomäki,Paijat-Hame
50802678231,60.951944,25.649722,vt12_letke_osa2_s7_20180104_38731128525_o,Lahti,Nikkilä,Paijat-Hame
50801933843,60.941111,25.641666,vt12_letke_osa2_s3_20180419_41578887411_o,Lahti,Renkomäki,Paijat-Hame
50802794087,60.934999,25.633611,vt12_letke_osa2_s1_20180316_1_25950025497_o,Lahti,Renkomäki,Paijat-Hame
50802677961,60.934166,25.630833,vt12_letke_osa2_s1_20180426_41797173271_o,Lahti,Renkomäki,Paijat-Hame
50802677641,60.935833,25.629722,vt12_letke_osa2_s1_20180208_2_28385646169_o,Lahti,Renkomäki,Paijat-Hame
50802793632,60.940833,25.639166,vt12_letke_osa2_s3_20170926_3_37346354111_o,Lahti,Renkomäki,Paijat-Hame
50802793147,60.934166,25.632500,vt12_letke_osa2_s1_kansi_20180419_41578888601_o,Lahti,Renkomäki,Paijat-Hame
50801932478,60.951111,25.648055,vt12_letke_osa2_s6_20190509_47765400112_o,Lahti,Nikkilä,Paijat-Hame
50801932153,60.934166,25.633611,vt12_letke_osa2_s1_20171004_36856940463_o,Lahti,Renkomäki,Paijat-Hame
50801931423,60.941944,25.642777,vt12_letke_osa2_s3_louhinta_20170906_36244086994_o,Lahti,Renkomäki,Paijat-Hame
50801930633,60.940833,25.639166,vt12_letke_osa2_s3_20170926_4_36637459904_o,Lahti,Renkomäki,Paijat-Hame
50801929798,60.951944,25.649444,vt12_letke_osa2_s7_kiertotie_20171023_24229409518_o,Lahti,Nikkilä,Paijat-Hame
50802789962,60.933888,25.633055,vt12_letke_osa2_s1_20180208_3_39267124595_o,Lahti,Renkomäki,Paijat-Hame
50802673711,60.940833,25.639166,vt12_letke_osa2_s3_20170926_6_36714760483_o,Lahti,Renkomäki,Paijat-Hame
50801929468,60.934444,25.633333,vt12_letke_osa2_s1_20180316_25950026147_o,Lahti,Renkomäki,Paijat-Hame
50802673066,60.941944,25.642777,vt12_letke_osa2_s3_louhinta_20170906_37299603486_o,Lahti,Renkomäki,Paijat-Hame
50802672956,60.940833,25.642222,vt12_letke_osa2_s3_20170926_37299546566_o,Lahti,Renkomäki,Paijat-Hame
50802788692,60.952222,25.648888,vt12_letke_osa2_s7_20180215_39568442584_o,Lahti,Nikkilä,Paijat-Hame
50802672556,60.934444,25.632777,vt12_letke_osa2_s1_20180208_28385650309_o,Lahti,Renkomäki,Paijat-Hame
50802788262,60.941111,25.642222,vt12_letke_osa2_s3_20170926_2_37316696652_o,Lahti,Renkomäki,Paijat-Hame
50802671586,60.957500,25.653611,vt12_letke_osa2_s24_20180316_2_25950023087_o,Lahti,Laune,Paijat-Hame
50802670121,60.958611,25.653333,vt12_letke_osa2_s10-s24_20180423_27929135308_o,Lahti,Laune,Paijat-Hame
50802669931,60.955833,25.660000,vt12_letke_osa2_s10_20180412_41384375662_o,Lahti,Nikkilä,Paijat-Hame
50801925578,60.958611,25.658055,vt12_letke_osa2_s10-s24_20180410_41384374112_o,Lahti,Laune,Paijat-Hame
50801925513,60.958333,25.651944,vt12_letke_osa2_s10-s24_20180213_38451023500_o,Lahti,Laune,Paijat-Hame
50802669471,60.956944,25.653888,vt12_letke_osa2_s24_20180208_39267115445_o,Lahti,Laune,Paijat-Hame
50802785397,60.958611,25.652222,vt12_letke_osa2_s10_20180419_41538294052_o,Lahti,Laune,Paijat-Hame
50802784997,60.956944,25.654166,vt12_letke_osa2_s10_20180423_41755793322_o,Lahti,Laune,Paijat-Hame
50802667836,60.957500,25.653333,vt12_letke_osa2_s24_20180215_39568433304_o,Lahti,Laune,Paijat-Hame
50802667736,60.956666,25.654444,vt12_letke_osa2_s24_20180205_25294130197_o,Lahti,Laune,Paijat-Hame
50801922823,60.956666,25.654444,vt12_letke_osa2_s24_20180104_25756172078_o,Lahti,Laune,Paijat-Hame
50802782307,60.958333,25.654166,vt12_letke_osa2_s10-s24_20180301_1_26933566848_o,Lahti,Laune,Paijat-Hame
50801921973,60.957500,25.653055,vt12_letke_osa2_s24_20180208_2_28385625949_o,Lahti,Laune,Paijat-Hame
50802781657,60.957777,25.653333,vt12_letke_osa2_s24_20180412_40712278574_o,Lahti,Laune,Paijat-Hame
50801920993,60.957500,25.652500,vt12_letke_osa2_s24_20171023_38081869491_o,Lahti,Laune,Paijat-Hame
50802664576,60.957222,25.656388,vt12_letke_osa2_s10-s24_20180213_2_26388987848_o,Lahti,Laune,Paijat-Hame
50801920358,60.956944,25.653888,vt12_letke_osa2_s24_20180215_1_40234925722_o,Lahti,Laune,Paijat-Hame
50802661211,60.956666,25.654444,vt12_letke_osa2_s24_20180405_41426605411_o,Lahti,Laune,Paijat-Hame
50802660931,60.957500,25.653055,vt12_letke_osa2_s24_20180215_2_39568454474_o,Lahti,Laune,Paijat-Hame
50801916373,60.958333,25.651944,vt12_letke_osa2_s10_20180316_25950024687_o,Lahti,Laune,Paijat-Hame
50802776427,60.957777,25.653611,vt12_letke_osa2_s10_20180329_40531750565_o,Lahti,Laune,Paijat-Hame
50801915788,60.940277,25.641944,vt12_letke_osa2_s9_20170925_37299526396_o,Lahti,Renkomäki,Paijat-Hame
50801915568,60.955277,25.651111,vt12_letke_osa2_s24_20180315_1_25950023747_o,Lahti,Laune,Paijat-Hame
50802775617,60.953611,25.644444,vt12letke_osa2_s36_20180201_2_25149393017_o,Lahti,Laune,Paijat-Hame
50802659011,60.953611,25.644444,vt12letke_osa2_s36_20180201_25149391397_o,Lahti,Laune,Paijat-Hame
50802775217,60.986944,25.646944,vt12_letke_osa2_venetsia_painopenger_20170323-1_33446898372_o,Lahti,,Paijat-Hame
50802775062,60.952777,25.650555,vt12_letke_osa2_s36_20180301_40803635721_o,Lahti,Nikkilä,Paijat-Hame
50801913728,60.945555,25.646111,vt12_letke_osa2_venetsia_painopenger_20170323-6_33220234080_o,Lahti,Nikkilä,Paijat-Hame
50802657601,60.944166,25.645833,vt12_letke_osa2_venetsia_painopenger_20170323-3_33220258920_o,Lahti,Renkomäki,Paijat-Hame
50802773837,60.940277,25.638611,vt12letke_osa2_s3_20180111_25981278708_o,Lahti,Renkomäki,Paijat-Hame
50801912958,60.944166,25.645833,vt12_letke_osa2_venetsia_painopenger_20170323-2_33220267190_o,Lahti,Renkomäki,Paijat-Hame
50801912558,60.944444,25.645833,vt12_letke_osa2_venetsia_painopenger_20170323-4_33563010206_o,Lahti,Renkomäki,Paijat-Hame
50801912238,60.957500,25.652500,vt12_letke_osa2_s36_20180412_39617350150_o,Lahti,Laune,Paijat-Hame
50801912033,60.945555,25.646111,vt12_letke_osa2_venetsia_painopenger_20170323-5_33446881402_o,Lahti,Nikkilä,Paijat-Hame
50801911928,60.953611,25.644444,vt12_letke_osa2_s36_20180205_25294147707_o,Lahti,Laune,Paijat-Hame
50802655581,60.958055,25.653333,vt12letke_osa2_s36_20180201_1_39121993665_o,Lahti,Laune,Paijat-Hame
50802655436,60.945555,25.646944,vt12_letke_osa2_venetsia_painopenger_20170323-7_33603484155_o,Lahti,Nikkilä,Paijat-Hame
