,lat,lon,size
0,69.81222174400001,21.114398071999997,125
1,69.67695395000003,30.375061675000005,40
2,59.93739608256879,30.37644422018349,109
3,65.00688989534886,25.484819348837195,86
4,64.75511540109892,20.933670736263725,182
5,63.64137914285714,23.14239314285714,14
6,60.74255953061225,26.81860885714286,49
7,62.120032,21.48706866666667,9
8,65.52706906666668,21.81704686666667,15
9,62.786101623655874,22.824955924731174,186
10,64.81938561702128,26.043841765957456,47
11,60.18353368354431,24.884392177215183,74
12,64.64945678000002,27.979070360000005,100
13,67.24123401234567,21.950762864197532,81
14,64.80169283333333,25.42096385714285,42
15,67.55024387394955,26.61880754621848,119
16,60.454103697416976,22.284754335793366,271
17,61.830501111702155,29.308865234042564,188
18,62.55871501960786,28.793053549019614,51
19,64.10605108064514,24.865589903225807,62
20,69.66953088888887,29.9858044074074,54
21,69.66147665346537,30.20147482178217,101
22,62.88922454098357,27.66804811475409,183
23,64.92989291666667,25.42906716666666,12
24,63.674944111111124,27.496194555555558,54
25,60.94267903521128,28.743856014084493,142
26,63.82906548148148,24.019122425925925,54
27,62.07023880952382,24.602481142857147,42
28,60.529825380116975,27.589267567251444,171
29,69.49938164444445,24.390650311111116,45
30,60.472876014925376,22.01761295522388,67
31,60.37868792156866,25.67480833333333,153
32,62.38929727868852,25.679779983606554,61
33,64.22811412558138,27.707856534883707,215
34,65.81734513138686,21.71499710583941,274
35,65.27079216666668,30.209520799999996,60
36,65.64846218333334,20.85153015000001,60
37,64.79828787837837,21.096619648648648,74
38,65.05406868656716,25.50117082089552,67
39,64.93481025,20.922313888888887,72
40,63.96842830909094,28.03095472727273,55
41,69.30813066666666,21.341946752688166,93
42,59.886365714285716,30.054126571428572,7
43,62.485899482758605,25.74150398275863,116
44,61.502558888198756,21.807092385093153,161
45,59.98626192741934,30.214746338709674,120
46,66.31613293650794,29.408659044444445,315
47,63.40073693333333,29.730335099999994,30
48,69.12724198734179,20.750350848101277,79
49,60.17128927556819,24.936883122159088,357
50,59.94107947126437,20.91395652873563,87
51,66.50208061868685,25.721513065656584,396
52,62.696830487179504,25.208289794871796,39
53,64.10754214516129,29.62774696774194,62
54,66.17040118412699,29.151486996825394,315
55,69.89412441666667,21.605902529761895,168
56,65.03951315384614,25.467990230769228,13
57,60.99199495833333,25.523715305555555,72
58,68.0167006884058,24.03655652536232,276
59,60.14147403846154,29.892239807692313,52
60,69.72326596178338,30.05650307643311,157
61,61.785273505263135,22.543779315789465,95
62,69.06425738333334,20.694646633333335,62
63,62.86951143137254,27.62150833333334,102
64,69.86481106542055,23.259839887850465,107
65,66.06012739449541,28.166438266055028,109
66,66.51993978048782,20.809335878048785,41
67,64.47781652380952,28.32068914285714,21
68,65.54872462499999,26.76894667857142,112
69,60.5693179514563,27.1953575776699,206
70,69.70959922222224,29.387626083333334,72
71,61.856420752688194,23.856537860215045,186
72,68.030248325,24.275284925000005,120
73,61.545716314814825,23.963892129629617,54
74,63.88031,20.65730134615385,52
75,69.8113245,30.231827,4
76,64.01480029310346,23.533141620689655,58
77,62.60102328695656,29.760030878260878,115
78,64.76285131249999,20.7187250625,16
79,63.63064542499997,22.71448448749999,80
80,61.546736714285714,28.074956238095236,42
81,68.75266469148937,26.410362755319138,94
82,61.72843584210525,28.36868339473685,38
83,68.74730274561402,27.517767280701754,114
84,62.372777699999986,25.482113875,40
85,61.497646362162115,23.762270994594612,370
86,68.4574217096774,21.012683709677418,62
87,64.06286175409836,24.5141656885246,122
88,60.49963895238094,21.416432142857143,63
89,67.10452215384615,20.58745284615385,26
90,64.12723253448276,20.971487034482756,58
91,63.62848647692306,22.70171286153846,65
92,59.94039411392412,30.310047210126584,395
93,66.55184655000001,25.84843145,20
94,62.22665760106381,25.752145547872352,188
95,64.82853036666664,25.283591088888887,90
96,63.4537771935484,28.084842774193554,31
97,65.01292027848102,25.468988569620247,159
98,60.40369884090908,25.592447772727272,44
99,63.818700617021264,22.97619236170213,47
100,59.95357832222223,30.28067149999999,93
101,60.409619027777744,22.2637645,36
102,62.974821920000004,22.067102799999997,25
103,64.40904535555555,26.411735333333333,45
104,60.2013215952381,25.637182000000003,42
105,60.43819094954127,22.23242834403669,218
106,59.886543276595745,30.22118774468085,47
107,68.32268715384615,27.29938461538461,13
108,66.48230458333332,25.778665821428554,84
109,64.7518669626168,20.9809934953271,214
110,69.04030125423726,20.852673940677974,118
111,62.18173723880599,30.121919985074616,67
112,61.76994235820894,26.109248552238796,67
113,59.937745874396114,30.34052657004833,208
114,65.57942437662338,22.168975201298704,154
115,62.76995057142857,22.913276204081644,147
116,69.77791484745762,23.910196915254236,59
117,65.0655199605263,25.464821342105274,76
118,64.9266453787879,25.48662575757576,66
119,59.83508325,22.948115346774195,124
120,64.40842177011494,30.03676842528735,87
121,65.13853744,25.25459802,50
122,68.74632294736843,30.316771631578945,19
123,60.4438231456311,26.94149476699029,103
124,60.45621585333337,22.483316799999997,150
125,64.06151774193548,23.402171322580642,31
126,68.64998814545453,23.336692090909082,55
127,61.704443674418606,25.123847976744184,43
128,69.41235954347827,29.72318621739131,46
129,68.27088613829787,28.052358510638303,94
130,62.92213556521741,30.142514630434786,46
131,61.33698733333333,25.5695705,24
