lat,lon,size,label
67.00565105185186,22.514938985185186,135,"Kainulasjärvi, Norrbottens Län"
63.98542810958904,28.032993643835617,73,"Unknown, Oulun lääni"
63.32009693442623,22.39094493442623,61,"Oravainen, Pohjanmaan maakunta"
68.7682615,21.337926390625,64,"Iitto, Lapin maakunta"
66.560992476,25.639767936,250,"Seutulanharju, Lapin maakunta"
63.46196918831169,26.6685975,154,"Pielavesi, Pohjois-Savon maakunta"
64.0941615882353,29.370978411764707,17,"Jämäs, Oulun lääni"
60.897536139534886,26.58581884883721,86,"Kouvola, Kymenlaakso"
60.23540664335664,21.943342062937063,143,"Pargas, Varsinais-Suomen maakunta"
66.5791418,23.84031215,40,"Juoksenki, Lapin maakunta"
64.07263469387755,24.535922666666668,147,"Ylivieska, Oulun lääni"
63.624979343023256,22.73256532558139,515,"Pedersöre, Pohjanmaan maakunta"
67.07072335,26.468831425,40,"Raudanjoki, Lapin maakunta"
64.2332013111639,23.798934489311165,421,"Kalajoen Hiekkasärkät, Pohjois-pohjanmaan maakunta"
66.25938072115385,29.444021168269234,208,"Kuusamo, Pohjois-pohjanmaan maakunta"
62.22830191588785,25.72163302647975,642,"Jyväskylä, Central Finland"
63.54480599259259,23.697764308641972,405,"Kaustinen, Keski-Pohjanmaan maakunta"
69.15728124285715,21.578403585714288,70,"Unknown, Lapin lääni"
64.6864020882957,24.476668895277207,487,"Raahe, Oulun lääni"
61.73362819402985,28.382806253731346,67,"Sulkava, Etelä-Savon maakunta"
61.12949079190752,21.49641840462428,173,"Rauma, Satakunta"
59.825340410071945,22.921157021582733,139,"Hanko, Uudenmaan maakunta"
69.78543255045872,20.988011467889905,111,"Storslett, Troms Fylke"
67.40593294117647,25.935477529411763,17,"Sassali, Lapin maakunta"
60.98269811111111,22.66153019444444,108,"Loimaa, Varsinais-Suomen maakunta"
65.32537569318181,21.488020731060608,264,"Piteå, Norrbottens Län"
62.55483296969697,28.73518656565657,99,"Heinävesi, Southern Savonia"
64.16384476666667,21.91699968888889,90,"Blackhamn, Västerbotten"
61.8937967114754,29.831325439344276,305,"Kitee, North Karelia"
68.26921518918918,28.03927692792793,111,"Unknown, Lapin maakunta"
68.41770799014779,27.41845363054187,203,"Saariselkä, Lapin maakunta"
67.80920227586206,29.41050903448276,29,"nan, Lapin maakunta"
64.08661885714285,26.755912428571428,7,"Siikalatva, Pohjois-Savon maakunta"
63.15575614492752,22.268195719806734,621,"Vörå, Ostrobothnia"
62.30577890076335,27.915964122137407,131,"Varkaus, Pohjois-Savon maakunta"
67.14872415088757,26.92983755029586,338,"Sodankylä, Lapin maakunta"
67.94237469426751,23.68222047770701,157,"Muonio, Lapin maakunta"
64.10931670247933,28.407572355371897,121,"Sotkamo, Oulun lääni"
60.42162290196078,24.771027392156864,51,"Nurmijärvi, Newland"
64.23067611442787,27.7271452363184,402,"Kajaani, Kainuun maakunta"
63.03822351851852,22.992038148148147,54,"Lapua, South Ostrobothnia"
69.394919625,24.266612375,8,"Suoidnerohtu, Finnmark Fylke"
61.87607564748201,23.976122100719422,139,"Ruovesi, Tampere"
63.23729569343066,27.08165467153285,137,"Tuovilanlahti, Pohjois-Savon maakunta"
61.49705973675762,23.786523285714285,621,"Tampere, Tampere"
60.58738023344947,27.179693898954703,287,"Hamina, Kymenlaakso"
66.27759666326531,22.829681285714287,98,"Svartbyn, Norrbottens Län"
65.445347875,20.6112554375,16,"Unknown, Norrbottens Län"
60.47665251869159,26.92777172897196,214,"Kotka, Kymenlaakso"
61.55682749038461,22.905711288461536,104,"Sastamala, Tampere"
61.06271044303797,28.15703625316456,79,"Lappeenranta, South Karelia"
65.49192707142856,28.591997928571427,42,"nan, Pohjois-pohjanmaan maakunta"
69.21689534020618,29.18875115463917,97,"Vaggatem, Finnmark Fylke"
60.746542,24.116899,23,"Loppi, Kanta-Hame"
69.61122134343434,20.46775895959596,106,"Olderdalen, Troms Fylke"
63.535400455172415,29.167102279310345,290,"Nurmes, Pohjois-karjala maakunta"
63.35621930555556,21.31915105555556,108,"nan, Pohjanmaan maakunta"
62.73417391666667,25.251222444444444,36,"Saarijärvi, Central Finland"
61.499416061170216,21.797870909574467,376,"Björneborg, Satakunnan maakunta"
64.13831214851486,25.367254693069302,101,"Haapavesi, Oulun lääni"
60.50230516883117,21.43415464935065,77,"Kustavi, Finland Proper"
63.09777850427351,29.80946793732194,351,"Lieksa, Pohjois-karjala maakunta"
69.71991609677418,29.63418851612903,31,"Lonkuselv, Finnmark Fylke"
60.12561683333333,23.64287823809524,42,"Raseborg, Newland"
68.12913053703703,27.127960175925928,108,"Vuotso, Lapin maakunta"
69.78731294262295,23.618905442622957,122,"Unknown, Finnmark Fylke"
61.105397,30.02449784615385,13,"Pristan’, Leningrad Oblast"
64.78971993928572,25.6637031,280,"nan, Pohjois-pohjanmaan maakunta"
67.68261944936708,21.60711411392405,158,"Vittangi, Norrbottens Län"
69.03857852188007,20.83413459157212,613,"Kilpisjärvi, Lapin maakunta"
66.81327223809524,21.830313,21,"Unknown, Norrbottens Län"
64.23007717924528,30.380479688679248,106,"Viiksimo, Kainuun maakunta"
63.68353837931034,27.499911646551723,116,"Sonkajärvi, Pohjois-Savon maakunta"
63.3483357125,25.669332975,80,"Kärväskylä, Keski-Suomen maakunta"
60.22330954455445,25.90166299009901,101,"Porvoo, Newland"
64.67027285128205,27.94762775897436,195,"Kotila, Kainuun maakunta"
64.774366,23.31667033333333,6,"Raahe, North Ostrobothnia"
62.23751110294118,26.163381308823528,68,"Laukaa, Central Finland"
60.42893833891213,22.05552715062761,239,"Turku, Finland Proper"
67.611078,23.561481642857142,28,"Kihlanki, Lapin maakunta"
66.23842738686132,28.521941459854013,137,"Posio, Lapin maakunta"
61.67398422580645,24.223232693548383,62,"Orivesi, Tampere"
68.6338068,30.1244298,5,"Songel’skiy, Murmansk"
62.679284049180325,22.452817672131147,61,"Ilmajoki, South Ostrobothnia"
61.25304814583333,26.08887275,48,"Heinola, Paijat-Hame"
66.54488750615006,25.842633311808115,1626,"Napapiiri, Lapin maakunta"
62.43380206896552,22.17964365517242,116,"Kauhajoki, Etelä-Pohjanmaan maakunta"
67.63845898406375,24.506622565737054,251,"Kittilä, Lapland"
65.92510774285714,24.07160537142857,35,"Kukkola, Norrbotten"
63.64001646086957,28.31456534782609,115,"Rautavaara, Itä-Suomen lääni"
61.23174837096774,28.78365038709677,62,"Imatra, South Karelia"
66.72566430526315,27.432988115789477,95,"Kemimarvi, Lapin maakunta"
68.59102080246913,23.334443604938272,81,"Palojärvi, Lapin maakunta"
65.02079821052632,24.716951460526317,76,"Hailuoto, North Ostrobothnia"
69.45888301428572,30.021584842857145,70,"Svanvik, Finnmark Fylke"
66.63649430555556,26.159153909722225,144,"nan, Lapin maakunta"
67.2833828021978,25.552256824175824,91,"Kierinki, Lapin maakunta"
62.93973448611112,22.070708805555554,216,"nan, Pohjanmaan maakunta"
61.512081013333336,29.490239066666668,75,"Parikkala, South Karelia"
62.70315017142857,27.083614942857142,35,"Suonenjoki, North Savo"
69.24662770666667,21.276408746666664,150,"Enontekis, Lapin maakunta"
69.88002746153846,27.03031407692308,13,"Utsjoki, Lapin maakunta"
63.07130489316239,27.67256941025641,234,"Siilinjärvi, North Savo"
65.8576968125,20.4199440625,64,"Bredsel, Norrbottens Län"
62.04430987179487,24.58861564102564,39,"Mänttä-Vilppula, Tampere"
66.70094965116279,20.988700953488376,43,"Nattavaara, Norrbottens Län"
60.6288082625,25.3610684125,80,"Mäntsälä, Newland"
66.54492776000001,22.354718,50,"Unknown, Norrbottens Län"
68.16000595238096,25.666859523809524,21,"Pokka, Lapin maakunta"
67.41768480519481,26.61218922077922,77,"Sodankylä, Lapin maakunta"
68.45984525287356,21.00699955172413,87,"Unknown, Norrbottens Län"
65.66934042222222,20.814697466666665,45,"nan, Norrbottens Län"
65.9664019125,26.469988725,80,"Ranua, Lapin maakunta"
65.76425308333333,29.658322875,24,"Kuusamo, Pohjois-pohjanmaan maakunta"
65.50727133333334,22.7374575,12,"nan, Norrbottens Län"
67.50136236842106,24.962293907894736,76,"Kittilä, Lapland"
67.2134265,23.40361504166667,48,"Pajala, Norrbottens Län"
60.1618279174312,24.649007573394496,218,"Espoo, Newland"
60.4530761875,26.250483225,80,"Loviisa, Newland"
64.87595874358975,28.897677923076923,39,"Ämmänsaari, Kainuun maakunta"
64.79754754545455,25.421691727272727,44,"Liminka, Pohjois-pohjanmaan maakunta"
61.44368823076923,26.82380253846154,26,"Mäntyharju, Southern Savonia"
69.3577455862069,25.834020931034484,29,"Karigasniemi, Lapin maakunta"
69.83223667213115,21.973927918032786,61,"Badderen, Troms Fylke"
67.53824356862745,21.98368137254902,51,"Unknown, Norrbottens Län"
68.62581005,21.63403625,40,"Unknown, Norrbottens Län"
63.56269132183908,27.76817217241379,87,"Sonkajärvi, North Savo"
60.24802561904762,29.49150519047619,21,"Serovo, Leningrad Oblast"
